Año,REGION,Tasa.Actividad,Tasa.Empleo,Tasa.Desempleo,Tasa.Informalidad,Tasa.Subocupados,PromedioProporcion
2013,NEA,36.6214246294631,35.8222683461848,2.18220970747103,36.3437804768722,2.37833640531784,0.930423484119346
2014,NEA,36.0056510322399,35.0476042726056,2.66082332125168,37.3585475571473,2.43561382056249,0.93205199628598
2015,NEA,37.4278566823018,36.358064714440445,2.85104908712503,33.0006903366193,4.407608696417715,0.9310187692273275
2016,NEA,38.8500623323637,37.6685251562753,3.04127485299838,28.6428331160913,6.37960357227294,0.929985542168675
2017,NEA,40.484687513757,38.921155736863,3.86203246934478,30.4592494779511,6.48063909297512,0.936406179009541
2018,NEA,40.5333377919906,38.8564707353368,4.13700708601682,31.6411250502908,9.03821355615458,0.930327272727273
2019,NEA,41.5891089880903,39.4758069660854,5.08138325976173,31.6411250502908,13.4872939853084,0.909396515087123
2011,NOA,42.1760465158772,39.9233803594667,5.34110316755847,37.7487687635765,5.8173633267162,0.903834112149533
2012,NOA,41.9261415506831,39.6972948732322,5.31612639516683,37.7531029085836,4.91816899484957,0.910217339383807
2013,NOA,42.2839094421937,39.9609062021908,5.493823231219,37.984425603144,5.10359498921107,0.902833883907504
2014,NOA,42.7407353303691,40.0486781278626,6.2985748413029,36.6594207362687,5.59685418380026,0.898125506072874
2015,NOA,42.37897028377125,39.774278925785396,6.14487636957813,36.12779341545475,7.25087152665129,0.8978633247162965
2016,NOA,42.0172052371734,39.4998797237082,5.99117789785336,35.5961660946408,8.90488886950232,0.897601143359719
2017,NOA,45.0908268938476,42.4254222315629,5.91119047020262,34.1583236602825,11.1109993377428,0.905268099311496
2018,NOA,45.2746338203255,41.9941159785385,7.24581860740369,37.1743169477611,12.2200144807271,0.898497312939231
2019,NOA,45.1309090681378,41.3655489811758,8.34319574923073,37.1743169477611,13.1032737779446,0.888
2011,Pampeana,45.4616879298663,42.3415375794303,6.86325231753265,29.4007107583755,6.42993165948821,0.921179597701149
2012,Pampeana,45.6922541545973,42.3527304468749,7.30873048290254,28.9814038859674,7.31336439800398,0.922861978765964
2013,Pampeana,46.3400489994922,42.7420691229605,7.76429881757596,27.1870580402898,6.02012072724444,0.921527756995361
2014,Pampeana,45.9990224430777,42.2584008798012,8.13195882131049,28.1893699804419,6.89220612013226,0.916819418587999
2015,Pampeana,45.886718734199,42.1965176090458,8.041760078760536,29.24233811375015,8.139753204173621,0.927516612529425
2016,Pampeana,45.7744150253203,42.1346343382904,7.95156133621058,30.2953062470584,9.38730028821498,0.938213806470851
2017,Pampeana,45.9662394945621,42.9294256581446,6.60661796529318,30.1166163975449,10.3837869961077,0.924275435314434
2018,Pampeana,46.4103694410346,42.1279778372211,9.22723015436093,30.5150776950425,11.6551795634424,0.918358028424554
2019,Pampeana,46.3626739714229,42.4353760388498,8.47081843250426,30.5150776950425,13.767511851803,0.911824838478105
2011,Patagónica,44.779657441132,42.5959661447253,4.87652523755327,19.539684220233,3.07588470395172,0.925327750505342
2012,Patagónica,45.1509042568732,43.3014871300435,4.09607992856126,18.5827360345864,3.65916473618139,0.929391355483681
2013,Patagónica,44.8389046496305,42.3875980811221,5.46691893493567,14.9971969882335,2.46301590115877,0.930339761248852
